AA,AR,AN,AD,AC,AE,AQ,AG,AH,AI,AL,AK,AM,AF,AP,AS,AT,AW,AY,AV,RA,RR,RN,RD,RC,RE,RQ,RG,RH,RI,RL,RK,RM,RF,RP,RS,RT,RW,RY,RV,NA,NR,NN,ND,NC,NE,NQ,NG,NH,NI,NL,NK,NM,NF,NP,NS,NT,NW,NY,NV,DA,DR,DN,DD,DC,DE,DQ,DG,DH,DI,DL,DK,DM,DF,DP,DS,DT,DW,DY,DV,CA,CR,CN,CD,CC,CE,CQ,CG,CH,CI,CL,CK,CM,CF,CP,CS,CT,CW,CY,CV,EA,ER,EN,ED,EC,EE,EQ,EG,EH,EI,EL,EK,EM,EF,EP,ES,ET,EW,EY,EV,QA,QR,QN,QD,QC,QE,QQ,QG,QH,QI,QL,QK,QM,QF,QP,QS,QT,QW,QY,QV,GA,GR,GN,GD,GC,GE,GQ,GG,GH,GI,GL,GK,GM,GF,GP,GS,GT,GW,GY,GV,HA,HR,HN,HD,HC,HE,HQ,HG,HH,HI,HL,HK,HM,HF,HP,HS,HT,HW,HY,HV,IA,IR,IN,ID,IC,IE,IQ,IG,IH,II,IL,IK,IM,IF,IP,IS,IT,IW,IY,IV,LA,LR,LN,LD,LC,LE,LQ,LG,LH,LI,LL,LK,LM,LF,LP,LS,LT,LW,LY,LV,KA,KR,KN,KD,KC,KE,KQ,KG,KH,KI,KL,KK,KM,KF,KP,KS,KT,KW,KY,KV,MA,MR,MN,MD,MC,ME,MQ,MG,MH,MI,ML,MK,MM,MF,MP,MS,MT,MW,MY,MV,FA,FR,FN,FD,FC,FE,FQ,FG,FH,FI,FL,FK,FM,FF,FP,FS,FT,FW,FY,FV,PA,PR,PN,PD,PC,PE,PQ,PG,PH,PI,PL,PK,PM,PF,PP,PS,PT,PW,PY,PV,SA,SR,SN,SD,SC,SE,SQ,SG,SH,SI,SL,SK,SM,SF,SP,SS,ST,SW,SY,SV,TA,TR,TN,TD,TC,TE,TQ,TG,TH,TI,TL,TK,TM,TF,TP,TS,TT,TW,TY,TV,WA,WR,WN,WD,WC,WE,WQ,WG,WH,WI,WL,WK,WM,WF,WP,WS,WT,WW,WY,WV,YA,YR,YN,YD,YC,YE,YQ,YG,YH,YI,YL,YK,YM,YF,YP,YS,YT,YW,YY,YV,VA,VR,VN,VD,VC,VE,VQ,VG,VH,VI,VL,VK,VM,VF,VP,VS,VT,VW,VY,VV,target
16,92,32,31,1,18,13,147,6,36,20,20,2,92,26,779,67,7,27,18,38,23,20,84,0,31,19,122,5,7,31,4,1,1,26,26,44,5,10,32,4,9,13,2,0,200,39,6,0,23,2,2,0,0,3,13,95,0,18,11,10,58,15,2,0,26,7,28,5,5,25,9,2,3,21,37,146,4,18,2,810,1,0,0,0,1,0,1,0,0,0,0,0,0,1,189,1,0,0,0,93,16,5,8,0,18,400,39,1,3,85,32,1,4,10,22,88,2,6,7,15,8,8,28,0,34,3,110,56,0,6,0,2,224,53,13,9,0,423,14,91,81,86,56,2,146,80,215,11,17,90,9,9,19,72,91,153,12,89,70,1,4,4,2,0,10,4,6,0,1,7,0,0,75,2,6,8,0,3,2,4,5,10,6,0,4,26,13,0,1,2,2,0,2,7,38,5,0,29,2,115,30,14,24,0,26,21,90,21,5,14,14,7,113,15,27,37,6,11,28,7,8,22,5,0,8,3,14,0,1,29,0,1,0,3,7,12,0,2,3,4,3,8,1,0,1,1,12,0,1,3,0,0,0,0,1,1,1,0,0,6,13,7,7,0,5,4,22,2,4,6,2,0,424,6,9,6,1,5,3,17,28,17,18,0,9,71,92,8,2,32,5,2,6,15,30,26,4,34,8,173,95,39,48,1,54,79,177,10,18,222,16,7,60,114,757,96,17,108,76,14,23,15,81,0,82,223,182,6,27,12,3,1,64,25,79,18,6,31,9,0,4,2,8,0,7,1,16,0,0,2,0,0,0,2,9,11,0,1,4,2,8,103,2,0,136,4,47,0,0,4,0,0,443,6,10,62,0,6,0,30,20,20,10,0,24,8,60,4,5,26,7,2,2,17,24,16,2,12,19,0
19,75,34,27,1,16,10,139,4,45,15,7,3,122,16,780,66,7,31,19,34,27,20,60,0,43,31,104,4,12,27,6,9,1,17,32,52,5,8,20,1,12,9,0,0,139,29,10,1,15,3,0,1,2,9,27,114,1,17,11,3,48,13,1,0,22,15,24,5,3,19,4,0,5,16,29,165,6,10,4,815,1,0,1,1,0,0,2,0,0,0,1,0,0,0,182,0,0,1,0,117,10,14,7,0,17,346,38,4,4,93,31,1,3,10,23,112,5,6,9,13,11,4,18,0,42,10,93,46,2,10,4,2,159,51,13,16,1,456,11,103,78,77,58,1,154,71,237,19,21,65,14,5,19,54,86,127,21,99,54,4,6,6,0,0,9,3,5,0,0,2,1,0,72,3,9,8,0,7,0,10,19,7,8,1,6,21,12,3,2,3,2,2,0,4,34,7,0,26,0,82,24,22,15,0,30,13,98,25,8,13,7,2,117,10,31,42,5,12,27,6,9,16,5,0,6,2,14,0,4,26,0,1,2,3,4,4,0,3,4,2,0,13,0,0,3,0,9,0,1,0,1,1,0,0,3,2,0,1,0,6,7,3,6,0,4,7,18,2,5,4,1,3,390,6,18,7,5,9,2,11,27,21,24,0,12,62,75,2,1,42,3,1,4,25,27,28,3,21,10,159,117,25,45,0,55,70,188,9,12,224,17,3,58,135,738,75,9,126,96,19,14,18,91,0,104,253,173,5,28,8,6,0,69,20,81,13,1,19,7,3,5,6,4,0,1,2,22,1,1,1,0,0,0,1,8,12,1,2,4,5,8,78,0,0,149,7,51,1,0,3,1,1,476,1,17,66,0,7,1,24,14,15,22,0,38,10,51,4,3,25,3,1,4,18,19,13,4,11,12,0
23,67,41,34,0,25,19,123,9,31,26,17,3,95,24,753,67,10,34,11,32,24,22,65,0,47,34,102,4,14,24,1,5,4,19,24,52,2,8,19,2,15,11,0,0,173,32,15,2,20,2,0,0,0,3,21,96,0,28,15,8,59,10,5,0,26,14,36,2,6,18,8,2,6,14,33,126,5,14,4,784,1,0,0,0,0,0,0,0,0,1,1,0,0,0,215,1,0,0,0,104,8,13,19,0,13,391,39,1,2,98,35,0,3,4,16,95,2,8,5,12,10,13,24,0,38,5,89,47,5,8,2,1,194,51,11,23,1,431,5,111,76,77,52,1,166,64,196,12,24,80,11,10,19,45,85,150,15,114,52,1,6,9,1,0,9,1,10,0,0,3,0,1,65,4,6,11,0,4,0,7,11,9,6,0,3,28,15,1,0,5,2,0,2,9,25,3,1,28,2,93,31,19,25,0,20,11,99,23,8,17,9,3,128,11,45,42,7,19,27,8,8,14,4,0,5,3,24,0,2,33,2,1,1,4,5,11,1,2,1,3,3,9,2,0,1,0,7,0,0,0,1,0,1,0,2,4,0,3,1,5,10,10,3,0,3,10,25,1,0,8,4,1,404,6,15,7,7,4,3,9,24,17,16,0,7,58,79,7,7,32,4,1,1,13,29,24,2,20,3,160,96,34,40,1,51,72,210,18,13,239,19,3,67,113,722,64,8,117,108,18,27,21,72,1,84,217,167,2,20,13,4,0,82,14,101,21,1,18,13,5,5,6,5,0,4,0,18,0,1,1,1,0,1,1,10,5,1,1,1,2,7,86,4,0,148,5,55,1,1,4,1,2,452,4,20,70,0,6,1,25,14,14,19,0,33,6,51,1,3,25,7,4,1,14,17,24,3,10,8,0
23,85,38,21,1,27,10,149,2,45,28,14,1,114,27,774,77,10,31,8,45,41,19,71,0,39,27,129,3,8,31,4,2,6,27,32,50,1,13,27,1,10,10,1,0,172,23,15,0,15,3,4,0,1,11,25,93,0,26,20,8,60,13,3,0,27,8,31,1,4,14,5,2,7,19,27,142,4,13,7,825,2,1,0,0,0,0,1,0,0,0,0,0,0,0,173,1,0,0,1,117,9,14,9,0,12,371,47,2,0,92,30,2,3,10,21,100,5,5,6,17,6,6,18,0,45,7,113,37,2,7,2,1,203,42,7,9,2,418,9,110,87,77,58,1,165,83,210,16,15,77,8,7,12,57,98,129,9,108,47,2,5,3,4,0,10,2,9,1,3,2,0,0,58,2,6,10,0,4,0,4,10,5,2,0,4,25,12,2,2,9,4,0,2,4,39,6,1,22,0,107,40,29,29,0,31,16,91,25,9,24,8,5,120,16,34,42,5,13,25,4,6,16,5,0,4,1,13,1,0,33,0,0,0,5,5,8,1,1,5,2,3,8,3,0,0,0,5,0,0,0,2,0,0,0,1,2,0,2,2,5,16,5,4,0,7,6,19,3,1,5,1,1,427,2,16,5,2,6,5,13,33,20,19,0,11,52,84,5,3,35,0,5,3,17,33,29,3,14,8,158,113,41,39,2,52,79,175,15,20,249,13,3,58,123,742,77,18,116,77,13,22,19,86,0,94,224,148,6,22,16,6,1,87,11,93,15,5,23,6,8,4,4,6,0,6,1,11,0,1,3,2,0,0,1,8,12,1,2,0,3,9,85,2,0,127,2,61,1,0,8,2,0,434,5,18,73,2,10,1,20,14,17,15,0,22,14,51,1,3,33,3,0,1,8,18,17,1,16,11,0
21,81,27,30,2,15,17,118,3,29,20,10,1,111,25,785,64,5,29,17,30,31,22,70,0,46,30,114,5,2,22,2,6,10,18,32,53,1,10,29,2,8,11,0,1,175,21,5,1,13,3,0,0,1,9,26,95,1,22,11,3,55,15,2,0,32,9,23,3,5,23,4,3,3,17,39,121,2,20,5,815,2,0,0,0,1,0,1,0,0,0,0,0,0,0,183,0,0,1,1,113,8,11,11,0,14,381,53,3,3,84,34,3,7,4,12,99,6,8,5,12,13,10,28,0,46,7,90,46,6,12,1,1,198,48,10,10,4,416,9,92,80,72,47,0,126,85,222,17,20,78,9,6,19,63,101,147,10,116,50,4,2,4,0,0,5,5,10,0,1,7,1,0,68,3,5,7,0,7,0,4,5,7,5,0,6,22,14,2,3,7,3,2,3,7,23,4,1,19,1,88,33,23,29,0,31,17,88,24,4,25,3,3,116,10,41,47,6,17,25,3,3,12,3,0,6,3,9,1,0,30,1,0,0,2,7,10,1,2,3,1,2,5,2,0,1,0,12,0,0,0,0,0,0,0,4,4,1,1,0,7,13,5,7,0,6,5,10,1,4,6,1,1,417,13,22,5,1,10,2,11,38,17,18,1,11,53,94,4,6,48,1,1,0,19,32,31,5,29,2,162,107,33,35,0,48,79,193,12,20,220,17,4,57,141,733,88,17,139,75,21,14,28,70,0,103,212,182,4,20,14,5,0,89,12,90,21,3,22,9,3,10,2,8,0,8,0,11,0,0,1,1,0,0,3,7,11,0,0,2,2,12,88,4,0,144,10,66,0,0,4,0,2,435,10,14,86,0,7,2,16,16,13,15,0,35,11,45,3,2,26,3,0,2,17,14,16,3,11,12,0
20,67,37,29,0,13,16,140,5,40,17,10,5,121,18,798,64,5,27,15,30,24,22,70,1,35,27,129,3,5,26,10,7,6,15,31,53,3,10,24,3,12,8,2,0,175,32,10,1,13,3,1,0,2,4,28,96,2,21,15,7,55,17,5,1,30,7,19,2,4,20,4,0,6,17,26,148,3,14,7,821,2,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,1,1,122,14,7,8,0,10,376,37,2,3,90,24,0,5,14,18,82,4,7,5,14,10,6,20,0,37,1,89,52,3,13,4,2,195,51,8,10,3,404,10,102,96,78,52,0,146,73,239,16,22,84,20,6,20,52,104,144,10,108,45,0,10,5,1,0,9,6,7,1,1,4,2,0,78,2,5,9,1,3,0,7,7,5,4,0,2,17,17,1,1,7,2,3,1,4,35,10,1,27,3,113,24,27,30,0,33,10,98,26,9,25,4,6,121,15,41,43,7,19,25,7,4,17,5,0,5,5,15,2,3,31,0,1,0,2,2,6,0,5,4,0,0,5,4,0,5,1,18,0,0,0,0,1,0,1,4,3,1,0,2,8,10,7,5,0,5,5,28,0,2,7,3,1,423,7,11,10,4,9,1,11,31,13,12,0,7,63,70,5,6,37,4,3,4,19,28,22,9,28,4,139,109,39,46,1,43,76,211,17,15,259,13,6,58,124,781,67,20,112,81,17,20,18,78,0,105,210,168,2,20,20,6,1,78,14,82,19,2,27,11,4,6,2,4,0,3,2,24,2,1,6,2,0,0,0,4,15,0,0,1,1,13,99,1,0,138,2,50,2,3,4,1,1,426,2,15,73,0,7,0,21,17,16,16,0,27,3,48,5,3,23,4,2,2,15,18,24,1,9,9,0
21,64,39,23,0,26,14,134,7,37,28,21,1,110,24,773,56,7,19,24,34,29,19,72,0,34,26,131,3,5,27,3,4,9,37,36,40,5,14,23,3,14,14,5,0,159,37,11,0,20,2,1,0,0,3,30,92,0,23,16,4,55,21,4,0,31,6,39,3,4,13,3,1,7,12,31,141,0,20,5,803,0,1,0,0,0,0,1,0,2,0,0,0,0,0,195,0,0,0,0,117,17,9,8,0,19,363,44,2,2,94,20,1,2,14,17,90,4,10,4,15,9,7,19,0,38,2,98,57,4,9,2,0,194,57,13,13,1,405,16,78,78,88,61,0,148,82,208,19,21,74,9,6,17,54,103,136,7,120,43,3,7,9,1,0,10,3,10,0,0,0,2,0,86,5,4,10,1,1,2,5,8,7,6,0,5,24,14,1,1,6,2,0,1,3,33,10,3,22,2,114,40,10,25,0,29,15,82,30,4,25,9,2,106,17,36,40,2,20,24,5,8,20,2,0,6,2,12,1,1,22,3,0,2,4,4,13,0,2,0,2,1,9,2,0,4,0,3,0,0,2,0,0,0,0,0,3,0,1,0,4,15,8,7,0,7,4,24,3,3,8,2,1,399,7,18,6,1,5,5,16,27,19,17,0,10,77,67,3,1,45,3,3,8,12,31,25,3,23,8,159,133,38,40,2,45,82,167,15,21,234,12,4,56,119,740,81,20,121,91,15,17,13,75,0,89,207,181,3,22,13,8,1,92,11,79,15,3,27,10,2,3,3,7,0,3,1,20,1,1,2,2,1,0,0,4,7,0,2,2,3,11,78,3,0,138,7,62,1,0,1,1,1,431,8,17,85,2,10,0,25,15,18,23,0,36,7,44,5,4,25,4,1,7,11,16,18,2,14,9,0
23,72,31,24,1,16,18,128,7,32,25,9,1,97,18,784,72,7,16,12,40,29,23,65,0,41,30,123,1,10,26,7,3,9,27,34,55,8,14,27,3,9,12,1,0,157,37,7,1,15,6,0,0,1,2,19,104,0,20,13,4,67,15,4,0,26,10,26,6,9,14,4,1,6,14,38,156,3,16,5,810,3,0,0,0,0,0,1,0,0,1,0,0,0,0,188,0,0,0,0,89,16,7,11,0,15,364,49,1,2,81,25,2,1,8,14,113,2,4,3,9,11,15,22,0,51,3,93,56,1,14,3,1,184,59,8,15,2,467,12,88,95,74,50,0,142,89,227,12,20,66,11,3,13,60,103,150,15,105,43,3,3,5,5,0,4,4,10,0,0,2,0,0,73,5,4,5,0,7,1,14,8,5,3,1,2,21,17,4,2,5,1,0,2,3,26,10,0,32,2,96,37,24,23,1,30,13,88,17,4,21,4,1,109,14,36,38,6,17,20,3,3,10,4,0,9,2,15,0,0,28,1,1,2,1,3,6,1,1,3,4,1,9,1,0,1,0,6,0,1,0,0,1,0,0,2,2,0,0,1,8,13,3,6,0,3,9,25,2,1,6,0,2,374,7,22,10,3,10,1,12,31,20,19,0,13,68,83,3,1,32,4,2,5,15,21,22,4,26,2,146,125,41,46,0,38,83,184,12,20,221,16,8,60,123,747,81,20,116,98,15,24,14,106,0,79,253,161,2,31,13,4,1,72,15,95,17,3,35,8,2,2,3,11,0,5,1,20,1,2,3,2,0,1,0,6,11,0,4,1,5,9,86,6,0,144,9,50,1,1,4,0,1,491,6,16,65,0,11,3,19,14,10,17,0,31,12,53,5,6,31,2,1,5,6,19,16,1,7,8,0
15,79,32,22,1,23,16,124,7,37,19,11,1,131,24,776,70,7,19,11,40,33,17,66,0,47,27,121,0,9,22,5,2,3,24,37,37,5,10,23,3,8,8,2,0,171,29,12,2,14,4,0,1,2,6,26,100,0,9,12,5,53,15,2,0,28,10,26,3,3,19,1,0,4,16,41,154,1,16,4,798,0,1,1,0,0,0,1,0,0,0,0,0,0,0,200,1,0,0,0,125,13,12,9,0,13,379,46,0,5,79,25,1,3,11,20,103,7,10,9,13,8,4,22,0,44,5,103,45,1,7,2,1,192,49,9,15,0,438,16,102,92,74,68,0,130,80,192,16,12,83,9,13,24,48,93,123,16,103,46,1,3,3,5,0,12,6,6,0,2,3,1,2,66,2,7,6,0,2,0,1,7,5,2,0,6,18,17,2,1,3,1,1,2,5,31,9,1,26,4,103,26,21,24,0,26,16,100,24,5,19,4,2,96,16,45,39,6,12,25,2,3,16,6,0,3,2,9,1,0,25,0,0,1,2,3,7,1,4,5,1,0,7,0,0,5,0,12,1,0,0,0,1,0,0,2,5,1,1,1,4,10,10,7,1,5,5,19,3,2,8,2,2,410,10,21,9,4,10,3,12,29,14,13,0,9,59,83,2,5,42,6,2,4,24,30,24,2,27,8,168,115,36,45,0,60,71,181,15,18,235,9,3,69,123,732,88,13,130,103,9,15,19,80,0,105,235,152,4,23,12,10,1,76,18,92,18,0,23,11,5,2,4,11,0,7,2,16,0,1,1,0,0,0,0,6,9,0,2,2,2,11,99,0,0,139,7,46,0,1,4,0,0,457,4,19,66,0,4,0,16,21,12,16,0,37,7,58,2,3,24,4,4,5,13,24,20,4,13,10,0
22,72,44,22,1,18,12,136,3,37,22,9,3,93,23,774,62,13,37,9,50,35,28,72,0,46,33,114,2,4,17,5,2,8,22,37,59,5,8,29,2,9,10,1,0,188,40,7,0,14,2,2,0,1,10,25,94,0,24,13,8,54,24,1,0,27,13,32,6,6,18,2,4,5,12,38,126,2,16,3,812,2,0,0,0,0,0,1,0,0,1,0,0,0,2,183,1,1,0,0,100,12,10,15,0,11,383,42,3,2,102,28,1,7,5,17,89,3,6,10,13,11,6,27,0,44,7,104,56,4,9,5,1,209,57,11,13,4,402,8,99,91,73,54,0,161,81,235,11,24,75,11,9,23,37,89,142,10,119,48,2,5,10,3,0,7,4,5,0,0,3,1,0,80,4,5,4,0,2,1,3,8,9,9,0,5,19,13,1,3,8,5,0,0,9,23,7,2,20,1,88,30,15,27,0,25,12,88,26,4,19,8,2,132,12,30,55,10,14,25,6,8,18,3,0,6,3,10,0,0,30,3,0,1,2,2,6,1,5,2,1,1,5,3,0,2,2,6,0,0,1,0,0,0,0,3,0,0,1,5,4,12,8,5,0,4,7,20,1,3,2,2,0,423,5,16,13,2,7,4,11,25,14,13,0,6,65,79,6,2,43,6,0,5,16,26,21,4,17,7,139,136,42,35,1,47,78,186,9,16,228,8,1,42,110,741,94,13,127,106,22,23,13,79,1,86,216,181,2,20,15,8,3,83,22,85,18,3,27,12,6,5,2,8,0,7,2,18,1,1,2,0,1,0,0,12,9,0,1,3,2,17,90,0,0,131,6,58,3,1,4,1,1,417,5,22,86,0,4,1,22,20,21,20,0,25,8,57,6,4,21,2,2,9,13,20,20,5,12,13,0
